character_id,house_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,2
66,2
67,2
68,3
69,1
70,2
71,1
76,3
77,3
78,4
79,4
80,2
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,3
91,3
92,3
93,3
98,1
105,5
114,4
117,5
118,5
119,6
124,1
125,3
126,3
127,4
128,1
129,1
