potion_id,ingredient_id
1,1
1,2
4,3
4,4
4,5
5,6
5,7
5,8
5,9
6,10
6,11
6,12
8,13
8,14
8,15
9,16
16,17
17,10
17,11
17,12
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,25
24,26
24,27
24,28
24,29
24,30
24,31
26,32
26,33
26,34
26,35
26,36
26,37
27,38
27,39
27,40
27,41
29,42
29,43
30,44
31,45
31,46
31,47
31,48
31,49
34,50
34,51
35,52
35,53
35,54
35,55
35,56
35,57
36,58
36,59
36,60
37,61
38,62
38,63
38,64
38,65
40,66
40,46
40,67
42,68
42,69
42,70
42,71
44,72
44,73
44,74
44,75
44,34
44,76
44,77
44,78
44,10
44,11
46,79
46,80
46,81
47,82
47,83
47,84
49,75
50,85
52,86
53,87
53,88
54,89
54,90
54,91
54,92
54,93
54,94
54,95
56,96
56,97
56,98
57,99
57,100
58,101
58,102
58,103
58,104
58,105
58,106
58,49
59,107
59,108
59,109
60,110
60,111
60,112
61,113
61,114
61,115
61,116
62,14
62,117
63,118
63,119
63,120
66,121
69,19
69,122
69,123
69,124
70,125
70,126
70,127
71,128
